Embryo.length.total,Embryo.length.avg,eggID
2.33,0.332857143,BF207636
2.6,0.371428571,BF207638
4.218266,0.301304714,BF2012
4.439,0.369916667,BF2091140
3.693272,0.307772667,BF24151428
4.955675,0.309729688,BF2412927
2.177516,0.362919333,BF207
2.150206,0.307172286,BF206636
2.830688,0.353836,BF246625
2.881747,0.320194111,BF249927
2.393047,0.299130875,BF2410528
3.777001,0.290538538,BF2411
2.963288,0.2963288,BF208736
3.393214,0.308474,BF2013836
2.399657,0.299957125,BF248826
2.353968,0.294246,BF2491025
2.503231,0.312903875,BF207837
2.849802,0.316644667,BF2010837
3.396003,0.3396003,BF2410729
3.270482,0.30987925,BF2415828
2.566547,0.320818375,BF20121335
3.437958,0.2864965,BF208835
2.989345,0.2989345,BF2410825
4.590863,0.306057533,BF2412927
4.771769,0.340840643,FB24211330
5.806968,0.342174389,FB2014
2.152261,0.307465857,FB24161529
4.79151,0.319434,FB24191629
4.958068,0.30987925,FB20111234
5.822271,0.338926278,FB20151439
3.324,0.302181818,GB24101031
4.487,0.345153846,GB24141231
3.388,0.3388,GB2012944
4.95,0.33,GB20141245
3.802787,0.316898917,GB2411928
3.343946,0.303995091,GB2414729
4.594283,0.328163071,GB20121040
5.800506,0.341206235,GB2418928
5.404168,0.317686167,GB2425428
5.332454,0.311832611,GB20171141
4.002504,0.333542,GB2013839
4.718,0.393166667,HM2012
4.892,0.326133333,HM2015941
5.802,0.362625,HM2416929
6.234,0.366705882,HM2417
4.382457,0.36520475,HM2012837
4.846944,0.3231296,HM2016936
4.607052,0.3071368,HM2418628
5.525324,0.323945667,HM24131026
1.601295,0.2668825,HM2413628
4.032095,0.310161154,HM2411627
3.683052,0.283311692,HM206640
4.609393,0.307292867,HM2014640
5.476415,0.321073278,HM24181427
4.718059,0.314537267,HM24171827
2.355999,0.336571286,HM20201336
5.296912,0.314946333,HM20211538
2.26275,0.32325,HM2412528
5.359771,0.3109725,HM2413929
2.577895,0.368270714,HM20131239
3.855334,0.296564154,HM2018238
4.28312,0.305937143,OY2411729
2.609707,0.326213375,OY2410328
3.698775,0.336252273,OY208
3.532962,0.321178364,OY2014739
,,OY247626
,,OY247526
2.932054,0.325783778,OY208839
2.405312,0.300664,OY209839
1.95864,0.279805714,OY2411828
2.012063,0.287437571,OY248628
1.59953,0.266588333,OY208239
2.232132,0.2790165,OY206
2.445463,0.305682875,OY247
3.211711,0.291973727,OY249728
2.364904,0.262767111,TO248926
3.129498,0.3129498,TO2410826
1.379259,0.34481475,TO209938
3.066779,0.3066779,TO2010838
3.437958,0.2864965,TO24181428
4.756923,0.277877333,TO24191237
5.250197,0.307720889,TO20241546
5.121686,0.297991833,TO20191139
1.713675,0.342735,TO247228
2.374487,0.296810875,TO2412
1.942502,0.277500286,TO205
3.834914,0.319576167,TO208734
4.356371,0.335105462,WH24121229
4.880849,0.348632071,WH24161329
3.425393,0.311399364,WH20141040
4.693,0.2933125,WH20141140
2.682376,0.335297,Wh2410830
3.158023,0.3158023,WH249727
2.630298,0.292255333,WH208640
3.234321,0.3234321,WH2010940
