eggID,hatchID
BF207636,21
BF207638,21
BF2412927,22
BF24151428,22
BF2091140,22
BF2012,22
BF246625,23
BF249927,23
BF206636,23
BF207,23
BF2410528,24
BF208736,24
BF2013836,24
BF2411,24
BF2491025,25
BF248826,25
BF207837,25
BF2010837,25
BF2410825,20
BF2412927,20
BF2415828,26
BF2410729,26
BF20121335,26
BF208835,26
FB24211330,27
FB2014,27
FB24161529,28
FB24191629,28
FB20111234,28
FB20151439,28
GB24101031,11
GB24141231,11
GB2012944,11
GB20141245,11
GB2411928,12
GB2418928,12
GB2425428,12
GB2414729,12
GB20121040,12
GB20171141,12
GB2013839,13
HM2012,2
HM2416929,1
HM2015941,1
HM2417,3
HM24131026,5
HM2411627,5
HM24181427,6
HM24171827,6
HM2418628,4
HM2413628,4
HM2412528,7
HM2413929,7
HM2016936,4
HM20201336,6
HM2012837,4
HM20211538,6
HM2018238,7
HM20131239,7
HM206640,5
HM2014640,5
OY2410328,16
OY2411729,16
OY2014739,16
OY208,16
OY249728,17
OY247,17
OY247626,18
OY247526,18
OY2411828,19
OY248628,19
OY208839,18
OY209839,18
OY208239,19
OY206,
TO248926,8
TO2410826,8
TO209938,8
TO2010838,8
TO24181428,9
TO24191237,9
TO20191139,9
TO20241546,9
TO247228,10
TO208734,10
TO2412,10
TO205,10
WH24121229,14
WH24161329,14
WH20141040,14
WH20141140,14
WH249727,15
Wh2410830,15
WH208640,15
WH2010940,15
