date,acc,col,t0,t1,t2,t3,t4,t5
9/11/2019,20,9,20,23.7,25.5,27.3,28.6,28.9
9/11/2019,20,10,20,23.6,5.5,27.3,29,9.3
9/11/2019,20,11,20,23.7,25.6,27.4,29.1,30
9/11/2019,20,12,20,23.8,25.6,27.5,28.6,30.6
9/11/2019,20,13,20,23.9,25.8,27.9,29.6,31.3
9/11/2019,20,14,20,24,26,28.2,30.6,31.7
9/11/2019,20,15,20,24,26.2,28.4,30.8,32.5
9/11/2019,20,16,20,24,26.3,28.7,31.3,33.2
9/11/2019,20,17,20,24.2,26.3,29.1,31.8,33.9
9/11/2019,20,18,20,24.2,26.4,29.4,32.3,34.4
9/11/2019,20,19,20,24.3,26.9,29.9,32.9,35.3
9/11/2019,20,20,20,24.3,27,30.1,33.2,35.7
9/11/2019,20,21,20,24.7,27.4,30.6,34,36.7
9/11/2019,20,22,20,24.7,27.5,31.2,34.9,37.7
9/11/2019,20,23,20,24.7,27.8,31.7,35.7,38.4
9/11/2019,20,24,20,24.9,28.1,32,36.5,39.3
9/11/2019,20,25,20,25.1,28.4,33,37.2,40.1
9/11/2019,20,26,20,25.2,28.9,33.4,37.6,41
9/11/2019,20,27,20,25.4,28.8,33.9,38.5,42.2
9/11/2019,20,28,20,25.4,29.7,34.7,39.5,43.2
9/11/2019,20,29,20,25.7,30.2,35.5,40.9,44.5
9/11/2019,20,30,20,25.7,30.6,35.9,42,45.7
9/11/2019,20,31,20,25.7,30.7,37.1,43.1,46.5
9/11/2019,20,32,20,26,31.2,38.2,43.5,48.2
9/11/2019,20,33,20,26.1,32,38.7,45.5,49
9/11/2019,20,34,20,26.1,32.4,40,46.5,50.6
9/11/2019,20,35,20,26.4,33.3,41,48.3,51.5
9/11/2019,20,36,20,26.7,33.8,42.3,49.7,53.4
9/11/2019,20,37,20,26.8,34.7,43.2,51.1,55.1
9/11/2019,20,38,20,26.8,35.4,44.4,52.6,56.9
