date,site,acc,col,rand,row,weight,t0,t1,t2,t3,t4,t5,survival,protocol,run_count,run_ID
8/21/2019,BF,24,9,0.544934531,B,0.0006,24,21.5,18.3,17.5,18.3,20.8,0,1,30,1
8/21/2019,BF,24,10,0.120574885,B,0.0022,24,22.2,18.7,18.3,19,21.5,1,1,30,1
8/21/2019,BF,24,11,0.640419134,B,0.002,24,22.3,19.1,19,20,22.2,1,1,30,1
8/21/2019,BF,24,12,0.937219191,C,0.0019,24,22.8,19.7,19.8,21,23,1,1,30,1
8/21/2019,BF,24,13,0.001357284,A,0.0016,24,23.4,20.3,20.6,21.9,24.4,1,1,30,1
8/21/2019,BF,24,14,0.92817571,C,0.0016,24,23.9,20.9,21.3,22.8,25.3,1,1,30,1
8/21/2019,BF,24,15,0.210371348,A,0.001,24,24.3,21.5,22,23.8,26.1,1,1,30,1
8/21/2019,BF,24,16,0.895332251,A,0.0011,24,24.7,21.9,22.8,24.6,27.2,1,1,30,1
8/21/2019,BF,24,17,0.979471341,C,0.0012,24,24.8,22.6,23.6,25.6,28.2,1,1,30,1
8/21/2019,BF,24,18,0.875581261,C,0.0013,24,25.2,23,24.3,26.5,29.2,1,1,30,1
8/21/2019,BF,24,19,0.346052024,B,0.001,24,25.5,23.6,25,27.3,30.2,1,1,30,1
8/21/2019,BF,24,20,0.52342931,B,0.0021,24,25.7,24.1,25.8,28.3,31.3,1,1,30,1
8/21/2019,BF,24,21,0.131921521,A,0.0019,24,25.9,24.5,26.5,29.3,32.3,1,1,30,1
8/21/2019,BF,24,22,0.922778767,B,0.0013,24,26,25,27.2,30.3,33.3,1,1,30,1
8/21/2019,BF,24,23,0.316323533,C,0.0012,24,26.3,25.5,27.9,31.3,34.6,1,1,30,1
8/21/2019,BF,24,24,0.167832656,A,0.0013,24,26.3,25.9,28.9,32.4,35.6,1,1,30,1
8/21/2019,BF,24,25,0.369873357,B,0.0016,24,26.6,26.4,29.7,33.5,37,1,1,30,1
8/21/2019,BF,24,26,0.09991543,A,0.001,24,26.7,27,30.6,34.6,38.3,0,1,30,1
8/21/2019,BF,24,27,0.587338811,B,0.0013,24,26.8,27.5,31.5,35.8,39.6,0,1,30,1
8/21/2019,BF,24,28,0.638561446,C,0.001,24,26.8,28,32,36.9,40.9,0,1,30,1
8/21/2019,BF,24,29,0.814921184,C,0.002,24,27,28.6,33.3,38.3,42.1,0,1,30,1
8/21/2019,BF,24,30,0.75637092,C,0.0019,24,27,29,34.1,39.5,43.8,0,1,30,1
8/21/2019,BF,24,31,0.063271877,A,0.0017,24,27.1,29.7,35.3,40.8,45,0,1,30,1
